bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
25,Baseline,none,glm,2024-03-02T00:55:13Z,2024-03-02T00:55:28Z,NA,0,NA,0.5
25,Baseline,none,pda,2024-03-02T00:55:29Z,2024-03-02T00:56:18Z,0,0,NA,0.49937317175094026
25,Baseline,none,multinom,2024-03-02T00:56:18Z,2024-03-02T00:56:45Z,NA,0,NA,0.5
25,Baseline,none,treebag,2024-03-02T00:56:45Z,2024-03-02T00:57:06Z,0.14285714285714285,0.04,0.0625,0.5187463435018804
25,Baseline,none,gbm,2024-03-02T00:57:07Z,2024-03-02T00:57:32Z,NA,0,NA,0.5
25,Baseline,none,ranger,2024-03-02T00:57:32Z,2024-03-02T00:59:47Z,NA,0,NA,0.5
25,Baseline,none,nnet,2024-03-02T00:59:47Z,2024-03-02T01:00:29Z,NA,0,NA,0.5
25,Baseline,weighted,glm,2024-03-02T01:00:29Z,2024-03-02T01:00:46Z,0.02522935779816514,0.66,0.048600883652430045,0.6967989970748015
