bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
50,Baseline,none,glm,2024-03-02T00:55:07Z,2024-03-02T00:55:22Z,NA,0,NA,0.5
50,Baseline,none,pda,2024-03-02T00:55:22Z,2024-03-02T00:56:11Z,0.6,0.06,0.1090909090909091,0.5297910572503134
50,Baseline,none,multinom,2024-03-02T00:56:12Z,2024-03-02T00:56:40Z,NA,0,NA,0.5
50,Baseline,none,treebag,2024-03-02T00:56:40Z,2024-03-02T00:57:01Z,0,0,NA,0.4986418721270372
50,Baseline,none,gbm,2024-03-02T00:57:02Z,2024-03-02T00:57:28Z,NA,0,NA,0.5
50,Baseline,none,ranger,2024-03-02T00:57:28Z,2024-03-02T00:59:43Z,NA,0,NA,0.5
50,Baseline,none,nnet,2024-03-02T00:59:43Z,2024-03-02T01:00:25Z,NA,0,NA,0.5
50,Baseline,weighted,glm,2024-03-02T01:00:25Z,2024-03-02T01:00:41Z,0.026985350809560524,0.7,0.05196733481811433,0.7181571249477643
