bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
26,Baseline,none,glm,2024-03-02T00:55:28Z,2024-03-02T00:55:44Z,NA,0,NA,0.5
26,Baseline,none,pda,2024-03-02T00:55:44Z,2024-03-02T00:56:33Z,0.2,0.02,0.03636363636363636,0.5095821145006268
26,Baseline,none,multinom,2024-03-02T00:56:33Z,2024-03-02T00:57:01Z,NA,0,NA,0.5
26,Baseline,none,treebag,2024-03-02T00:57:01Z,2024-03-02T00:57:23Z,0,0,NA,0.4989552862515671
26,Baseline,none,gbm,2024-03-02T00:57:23Z,2024-03-02T00:57:46Z,NA,0,NA,0.5
26,Baseline,none,ranger,2024-03-02T00:57:46Z,2024-03-02T01:00:02Z,NA,0,NA,0.5
26,Baseline,none,nnet,2024-03-02T01:00:02Z,2024-03-02T01:00:44Z,NA,0,NA,0.5
26,Baseline,weighted,glm,2024-03-02T01:00:44Z,2024-03-02T01:01:03Z,0.029806259314456036,0.8,0.05747126436781609,0.7639782699540326
