bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
87,Baseline,none,glm,2024-03-02T00:55:46Z,2024-03-02T00:56:02Z,NA,0,NA,0.5
87,Baseline,none,pda,2024-03-02T00:56:02Z,2024-03-02T00:56:51Z,0,0,NA,0.49905975762641036
87,Baseline,none,multinom,2024-03-02T00:56:51Z,2024-03-02T00:57:19Z,NA,0,NA,0.5
87,Baseline,none,treebag,2024-03-02T00:57:20Z,2024-03-02T00:57:40Z,0,0,NA,0.49926870037609694
87,Baseline,none,gbm,2024-03-02T00:57:41Z,2024-03-02T00:58:04Z,NA,0,NA,0.5
87,Baseline,none,ranger,2024-03-02T00:58:04Z,2024-03-02T01:00:19Z,NA,0,NA,0.5
87,Baseline,none,nnet,2024-03-02T01:00:19Z,2024-03-02T01:01:01Z,NA,0,NA,0.5
87,Baseline,weighted,glm,2024-03-02T01:01:01Z,2024-03-02T01:01:18Z,0.026729559748427674,0.68,0.05143721633888049,0.7106644379440034
