bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
31,Baseline,none,glm,2024-03-02T00:54:58Z,2024-03-02T00:55:14Z,NA,0,NA,0.5
31,Baseline,none,pda,2024-03-02T00:55:14Z,2024-03-02T00:56:03Z,0.2,0.02,0.03636363636363636,0.5095821145006268
31,Baseline,none,multinom,2024-03-02T00:56:04Z,2024-03-02T00:56:33Z,NA,0,NA,0.5
31,Baseline,none,treebag,2024-03-02T00:56:33Z,2024-03-02T00:56:53Z,0.07142857142857142,0.02,0.03125,0.5086418721270372
31,Baseline,none,gbm,2024-03-02T00:56:54Z,2024-03-02T00:57:18Z,NA,0,NA,0.5
31,Baseline,none,ranger,2024-03-02T00:57:18Z,2024-03-02T00:59:34Z,NA,0,NA,0.5
31,Baseline,none,nnet,2024-03-02T00:59:34Z,2024-03-02T01:00:15Z,NA,0,NA,0.5
31,Baseline,weighted,glm,2024-03-02T01:00:16Z,2024-03-02T01:00:31Z,0.025373134328358207,0.68,0.04892086330935252,0.7035603844546594
