DBT1,DBT99,WHITE,BLACK,SDESCENT,OVER65,LIVESALONE,POVERTY,EMPLOYHH,HIGHSCHOOL,RENT,APARTMENT,MOBILE,YEARMADERANGE,THERMALMASS.ROOF,ADQINSUL,DRAFTY,WWR,TYPEGLASS,COOLTYPE,HVAC_OPERATION,HVAC_MAINTENANCE,NUMFANS,OFFGRID,TEMPMA
0.7486033519553073,0.6930604982206405,1,0,0,0,0,0,1,1,0,0,0,0.8428571428571429,0,0.6666666666666666,0,0.04472427268779853,0.5,1,0,0,0.29411764705882354,1,0
0.728119180633147,0.681494661921708,1,0,0,0,0,1,0.5,1,0,0,0,0.5571428571428572,0,0.6666666666666666,0,0.022036474164133738,0,0.5,0,1,0.23529411764705882,0,0
0.64804469273743,0.6209964412811387,1,0,0,1,0,1,1,1,0,0,0,0.4142857142857143,0,0.6666666666666666,0.3333333333333333,0.034110097939885176,0,1,0,0,0.4117647058823529,0,0
0.6256983240223463,0.5409252669039145,0,0,0,1,1,0,0,0,0,0,0,0.12857142857142856,0,0.6666666666666666,0,0.07338254450716457,0.5,1,0,0,0.5294117647058824,0,0
0.5716945996275605,0.5373665480427046,0,0,0,0,0,0,1,1,0,0,0,0.4142857142857143,0,0.6666666666666666,0,0.0303951367781155,0,1,0,0,0.23529411764705882,0,0
0.4990689013035381,0.4030249110320284,1,0,0,0,1,1,0,1,1,1,0,0.5571428571428572,0,1,0,0.0972644376899696,0.5,0.5,0,0,0.11764705882352941,0,0
0.5307262569832402,0.7072953736654803,1,0,0,0,1,0,1,0,1,1,0,0.2714285714285714,1,0.3333333333333333,0,0.04711246200607903,0,1,0,0,0.11764705882352941,0,0
0.5381750465549346,0.3852313167259786,1,0,0,1,0,0,0,1,0,0,0,0.4142857142857143,0,0.6666666666666666,0.3333333333333333,0.03708206686930091,0.5,0.5,1,0,0.35294117647058826,0,0
0.5716945996275605,0.5373665480427046,1,0,0,0,0,0,1,0,0,0,0,0.5571428571428572,0,0.6666666666666666,0.3333333333333333,0.034110097939885176,0.5,1,0,0,0.11764705882352941,0,0
0.7355679702048417,0.690391459074733,1,0,0,0,0,0,1,0,1,0,0,0.12857142857142856,1,0.3333333333333333,0.3333333333333333,0.08611955420466058,0,1,0,0,0.23529411764705882,0,0
0.5623836126629423,0.4848754448398576,1,0,0,0,1,0,1,0,0,0,0,0.2714285714285714,0,0.6666666666666666,0.3333333333333333,0.06382978723404255,0.5,0.5,0,0,0.17647058823529413,1,0
0.633147113594041,0.5088967971530249,1,0,0,0,1,1,1,0,1,0,0,0,1,0.3333333333333333,0.3333333333333333,0.04711246200607903,0,0,1,1,0.17647058823529413,0,0
0.6238361266294227,0.686832740213523,1,0,0,1,1,1,0,1,1,0,0,0.9285714285714286,1,0.3333333333333333,0.3333333333333333,0.06382978723404255,0,1,1,0,0.29411764705882354,0,0
0.5679702048417132,0.40391459074733094,1,0,0,0,0,1,1,0,1,1,0,0.4142857142857143,0,0.6666666666666666,0,0.04711246200607903,0.5,0.5,0,0,0.058823529411764705,0,0
0.6219739292364989,0.4777580071174377,0,1,0,0,0,0,1,0,0,0,0,0.8428571428571429,0,1,0,0.050455927051671734,0.5,1,0,0,0.23529411764705882,0,0
0.6424581005586592,0.7224199288256227,1,0,0,0,0,0,0,0,1,1,0,0.9285714285714286,0,0.6666666666666666,0,0.013677811550151974,0.5,1,1,0,0.23529411764705882,0,0
0.6294227188081936,0.6236654804270462,1,0,0,0,0,1,0,0,0,0,1,0.7,0,1,0.3333333333333333,0.0303951367781155,0.5,1,0,0,0.23529411764705882,0,0
0.4878957169459963,0.4653024911032028,0,1,0,0,0,1,0.5,0,0,1,0,0,0,0.6666666666666666,0.3333333333333333,0.06382978723404255,0,0,1,0,0.29411764705882354,1,0
0.5642458100558658,0.6423487544483986,1,0,0,1,0,0,0,0,0,0,0,0.7,0,0.6666666666666666,0,0.13069908814589665,0.5,1,0,0,0.23529411764705882,0,0
0.6256983240223463,0.5587188612099644,1,0,0,0,0,0,1,0,0,0,0,0.4142857142857143,1,0.3333333333333333,0.6666666666666666,0.06382978723404255,0,0.5,0,0,0.29411764705882354,0,0
0.4581005586592177,0.74644128113879,1,0,0,0,0,0,1,0,1,0,0,0,0.5507246376811593,0,0.6666666666666666,0.07338254450716457,0,0,0,0,0.35294117647058826,0,0
0.6256983240223463,0.5587188612099644,0,1,0,0,0,0,1,1,1,0,0,0.4142857142857143,0,0.6666666666666666,0.3333333333333333,0.022036474164133738,0,0.5,1,0,0.17647058823529413,0,0
0.536312849162011,0.4653024911032028,1,0,0,1,0,1,0,0,0,0,0,0.4142857142857143,0,0.6666666666666666,0.3333333333333333,0.019250253292806482,0,1,0,0,0.23529411764705882,0,0
0.6536312849162009,0.5711743772241993,1,0,0,1,1,1,0,0,1,1,0,0.8428571428571429,0,1,0,0.017021276595744678,0.5,1,0,0,0,0,0
0.536312849162011,0.46085409252669035,0,0,0,0,0,0,0,0,0,0,0,0.8428571428571429,0,1,0,0.06382978723404255,0,1,0,0,0.058823529411764705,0,0
0.536312849162011,0.5569395017793594,1,0,0,0,1,0,1,0,0,0,0,0.5571428571428572,0.18840579710144925,0.3333333333333333,1,0.03708206686930091,0.5,1,0,0,0,0,0
0.590316573556797,0.5533807829181495,1,0,0,1,0,0,0.5,0,0,0,0,0.4142857142857143,0,0.6666666666666666,0.3333333333333333,0.034110097939885176,0.5,1,0,0,0.17647058823529413,0,0
0.6499068901303536,0.5880782918149465,1,0,0,1,0,0,0,1,0,0,0,0.4142857142857143,0,0.6666666666666666,0.3333333333333333,0.06382978723404255,0.5,0.5,0,0,0.23529411764705882,1,0
0.6368715083798883,0.6966192170818505,1,0,0,1,0,1,0,0,0,0,0,0.2714285714285714,0,0.6666666666666666,0,0.034110097939885176,0,1,0,0,0.058823529411764705,0,0
0.5176908752327746,0.40480427046263345,1,0,0,1,1,1,1,0,0,0,0,0.12857142857142856,0,1,0,0.07338254450716457,0,1,0,0,0.23529411764705882,0,0
0.914338919925512,0.7135231316725977,1,0,0,0,0,0,1,0,0,0,0,0.8428571428571429,0.11594202898550723,0.3333333333333333,0,0.1641337386018237,0.5,1,1,1,0.11764705882352941,0,0
0.7523277467411543,0.6912811387900355,1,0,0,0,0,1,0.5,0,0,0,0,0.12857142857142856,0,0.3333333333333333,0.3333333333333333,0.03708206686930091,0,1,1,1,0.23529411764705882,0,0
0.5549348230912476,0.48843416370106757,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0.017021276595744678,0,0,1,0,0.11764705882352941,0,0
0.5735567970204841,0.5382562277580071,1,0,0,1,1,0,0,0,0,1,0,0.4142857142857143,0,1,0,0.04711246200607903,0.5,1,0,0,0,0,0
0.6275605214152701,0.6254448398576512,0,0,0,0,1,0,1,0,0,0,0,0.4142857142857143,0,0.6666666666666666,0.3333333333333333,0.013677811550151974,0,1,0,0,0.35294117647058826,0,0
0.616387337057728,0.5596085409252669,0,1,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,0.3333333333333333,0.05268490374873354,0.5,0.5,0,0,0.11764705882352941,0,0
0.6238361266294227,0.6983985765124555,0,1,0,0,0,1,0,0,0,0,0,0.5571428571428572,0,1,0,0.019250253292806482,1,0,0,0,0.29411764705882354,0,0
0.664804469273743,0.6049822064056939,1,0,0,1,0,1,1,1,0,0,0,0.4142857142857143,0,1,0,0.07338254450716457,0,1,1,0,0.11764705882352941,0,0
0.5735567970204841,0.49110320284697506,1,0,0,0,1,0,1,0,0,0,0,0.8428571428571429,0,1,0.3333333333333333,0.03875379939209726,1,0,0,0,0.29411764705882354,1,0
0.6350093109869644,0.6227758007117438,1,0,0,0,0,1,0,1,1,0,0,0.4142857142857143,0,1,0,0.05268490374873354,0,0.5,1,0,0,0,0
0.6256983240223463,0.5097864768683273,1,0,0,0,0,0,0,0,0,0,0,0.12857142857142856,0.18840579710144925,0.3333333333333333,0.3333333333333333,0.08611955420466058,0,1,0,0,0.058823529411764705,0,0
0.633147113594041,0.5088967971530249,1,0,0,0,1,1,0.5,0,0,0,0,0,0,1,0.3333333333333333,0.08611955420466058,0.5,1,1,0,0.058823529411764705,0,0
0.7728119180633146,0.7019572953736655,1,0,0,0,0,0,1,0,0,0,0,0.2714285714285714,1,0.3333333333333333,0.3333333333333333,0.025618758141554492,0.5,1,0,0,0.058823529411764705,0,0
0.5270018621973929,0.4741992882562277,1,0,0,0,0,0,1,0,1,1,0,0.5571428571428572,0,1,0,0.022036474164133738,0.5,1,0,0,0.11764705882352941,0,0
0.3798882681564244,0.7677935943060498,1,0,0,0,0,0,0.5,0,0,0,0,0.5571428571428572,0,1,0.3333333333333333,0.07338254450716457,0.5,0,0,0,0.11764705882352941,1,0
0.5270018621973929,0.4741992882562277,1,0,0,0,0,0,1,0,0,0,0,0.5571428571428572,0,0.6666666666666666,0.3333333333333333,0.05268490374873354,0.5,0.5,0,0,0,0,0
0.3314711359404096,0.6628113879003559,1,0,0,0,0,0,1,0,1,0,0,0.9285714285714286,0,1,0,0.0303951367781155,0.5,0,0,0,0.058823529411764705,0,0
0.6350093109869644,0.6227758007117438,0,1,0,0,0,1,1,1,1,0,0,0.4142857142857143,0,1,0,0.0303951367781155,0,1,0,0,0.29411764705882354,0,0
0.6852886405959031,0.7197508896797153,1,0,1,0,0,0,0,1,0,0,0,0.2714285714285714,0,1,0,0.013677811550151974,0,1,1,0,0.23529411764705882,0,0
0.6592178770949719,0.6823843416370107,1,0,0,0,0,1,0,1,0,0,0,0.2714285714285714,0,1,0,0.04472427268779853,0,1,0,0,0.23529411764705882,0,0
0.5232774674115455,0.46975088967971523,1,0,0,1,0,1,0,1,0,0,0,0.4142857142857143,0,1,0,0.10840932117527863,0.5,0.5,0,0,0,1,0
0.4581005586592177,0.4359430604982206,1,0,0,0,0,1,0,0,0,0,0,0.9285714285714286,0,1,0,0.0712597095575819,0.5,1,0,0,0.35294117647058826,1,0
0.7523277467411543,0.6912811387900355,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0.05268490374873354,0,0.5,0,0,0.17647058823529413,0,0
0.5698324022346367,0.4839857651245551,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,0,0.03708206686930091,0.5,1,1,1,0.23529411764705882,1,0
0.49534450651769074,0.4056939501779359,1,0,0,1,1,0,0,0,0,0,0,0.5571428571428572,0,1,0.3333333333333333,0.10395136778115502,0.5,0,1,0,0,0,0
0.4934823091247672,0.2846975088967971,1,0,0,0,0,0,1,0,0,0,0,0.9285714285714286,0,1,0,0.05268490374873354,0.5,1,0,0,0.058823529411764705,1,0
0.5698324022346367,0.790035587188612,1,0,0,0,1,0,1,0,0,0,0,0.5571428571428572,0.18840579710144925,0.3333333333333333,0.6666666666666666,0.04711246200607903,0,1,0,0,0.29411764705882354,0,0
0.7616387337057726,0.6423487544483986,1,0,0,0,0,0,1,0,0,0,0,0.4142857142857143,0,0.6666666666666666,0,0.03875379939209726,0.5,1,1,0,0.29411764705882354,0,0
0.6666666666666666,0.6076512455516013,1,0,0,1,0,0,0,1,0,0,0,0.4142857142857143,0,1,0.3333333333333333,0.034110097939885176,0.5,1,0,0,0.058823529411764705,0,0
0.6499068901303536,0.5880782918149465,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0.04472427268779853,0.5,1,0,0,0.29411764705882354,1,0
0.7579143389199255,0.6690391459074733,0,0,0,0,0,0,0,0,0,0,0,0.5571428571428572,0,0.6666666666666666,0,0.05268490374873354,0.5,1,1,0,0.35294117647058826,0,0
0.616387337057728,0.8434163701067615,0,1,0,0,1,1,0,1,1,1,0,0.8428571428571429,0,1,0.3333333333333333,0.0303951367781155,0,1,1,0,0,0,0
