bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
32,Baseline,none,glm,2024-03-02T01:05:39Z,2024-03-02T01:05:55Z,NA,0,NA,0.5
32,Baseline,none,pda,2024-03-02T01:05:55Z,2024-03-02T01:06:43Z,0.2,0.02,0.03636363636363636,0.5095821145006268
32,Baseline,none,multinom,2024-03-02T01:06:43Z,2024-03-02T01:07:12Z,NA,0,NA,0.5
32,Baseline,none,treebag,2024-03-02T01:07:12Z,2024-03-02T01:07:32Z,0,0,NA,0.4986418721270372
32,Baseline,none,gbm,2024-03-02T01:07:32Z,2024-03-02T01:07:57Z,NA,0,NA,0.5
32,Baseline,none,ranger,2024-03-02T01:07:57Z,2024-03-02T01:10:12Z,NA,0,NA,0.5
32,Baseline,none,nnet,2024-03-02T01:10:12Z,2024-03-02T01:10:54Z,NA,0,NA,0.5
32,Baseline,weighted,glm,2024-03-02T01:10:54Z,2024-03-02T01:11:09Z,0.028662420382165606,0.72,0.0551301684532925,0.7325449226911827
32,Baseline,weighted,pda,2024-03-02T01:11:09Z,2024-03-02T01:11:58Z,NA,0,NA,0.5
32,Baseline,weighted,multinom,2024-03-02T01:11:58Z,2024-03-02T01:12:24Z,0.028481012658227847,0.72,0.0547945205479452,0.7317091516924363
32,Baseline,weighted,treebag,2024-03-02T01:12:24Z,2024-03-02T01:12:45Z,0,0,NA,0.4986418721270372
32,Baseline,weighted,gbm,2024-03-02T01:12:45Z,2024-03-02T01:13:11Z,0.02843601895734597,0.72,0.0547112462006079,0.7315002089427497
32,Baseline,weighted,ranger,2024-03-02T01:13:11Z,2024-03-02T01:15:44Z,0.030723488602576808,0.62,0.05854579792256846,0.7078269954032594
32,Baseline,weighted,nnet,2024-03-02T01:15:45Z,2024-03-02T01:16:27Z,0.02725208175624527,0.72,0.052516411378555804,0.7257542833263686
32,Baseline,up,glm,2024-03-02T01:16:27Z,2024-03-02T01:16:43Z,0.02843601895734597,0.72,0.0547112462006079,0.7315002089427497
32,Baseline,up,pda,2024-03-02T01:16:43Z,2024-03-02T01:18:15Z,0.028294260307194827,0.7,0.05439005439005439,0.7244254074383618
32,Baseline,up,multinom,2024-03-02T01:18:15Z,2024-03-02T01:19:10Z,0.028067361668003207,0.7,0.053970701619121056,0.723380693689929
32,Baseline,up,treebag,2024-03-02T01:19:10Z,2024-03-02T01:19:39Z,0,0,NA,0.4950898453823652
32,Baseline,up,gbm,2024-03-02T01:19:39Z,2024-03-02T01:20:09Z,0.028549962434259956,0.76,0.05503258508327299,0.7449185123276223
32,Baseline,up,ranger,2024-03-02T01:20:09Z,2024-03-02T01:23:20Z,0.030680728667305847,0.64,0.05855443732845379,0.7143794400334309
32,Baseline,up,nnet,2024-03-02T01:23:20Z,2024-03-02T01:24:36Z,0.023106546854942234,0.36,0.04342581423401688,0.600497283744254
32,Baseline,smote,glm,2024-03-02T01:24:36Z,2024-03-02T01:24:52Z,0.028122415219189414,0.68,0.054011119936457505,0.7172461345591308
32,Baseline,smote,pda,2024-03-02T01:24:52Z,2024-03-02T01:26:24Z,0.027004909983633387,0.66,0.051886792452830184,0.7057835353113247
32,Baseline,smote,multinom,2024-03-02T01:26:24Z,2024-03-02T01:27:06Z,0.02745424292845258,0.66,0.052715654952076675,0.7078729628081906
32,Baseline,smote,treebag,2024-03-02T01:27:06Z,2024-03-02T01:27:35Z,0.0375,0.06,0.04615384615384615,0.5219557041370665
32,Baseline,smote,gbm,2024-03-02T01:27:36Z,2024-03-02T01:28:03Z,0.029556650246305417,0.6,0.056338028169014086,0.6970956957793564
32,Baseline,smote,ranger,2024-03-02T01:28:03Z,2024-03-02T01:31:55Z,0.02564102564102564,0.34,0.04768583450210378,0.6025114918512328
32,Baseline,smote,nnet,2024-03-02T01:31:56Z,2024-03-02T01:33:11Z,0.015625,0.32,0.0297951582867784,0.5546928541579608
32,Baseline,rose,glm,2024-03-02T01:33:11Z,2024-03-02T01:33:27Z,0.0036455412226584407,0.26,0.0071902654867256645,0.2588132051817802
32,Baseline,rose,pda,2024-03-02T01:33:27Z,2024-03-02T01:34:19Z,0.029576338928856916,0.74,0.0568793235972329,0.7431717509402423
32,Baseline,rose,multinom,2024-03-02T01:34:19Z,2024-03-02T01:34:52Z,0.02908805031446541,0.74,0.05597579425113465,0.7409778520685333
32,Baseline,rose,treebag,2024-03-02T01:34:52Z,2024-03-02T01:35:21Z,0.08695652173913043,0.08,0.08333333333333333,0.5356122022565817
32,Baseline,rose,gbm,2024-03-02T01:35:21Z,2024-03-02T01:35:48Z,0.06493506493506493,0.1,0.07874015748031496,0.5424780610112829
32,Baseline,rose,ranger,2024-03-02T01:35:48Z,2024-03-02T01:39:49Z,0.043478260869565216,0.06,0.050420168067226885,0.5231048892603427
32,Baseline,rose,nnet,2024-03-02T01:39:50Z,2024-03-02T01:40:46Z,0.03341288782816229,0.28,0.05970149253731343,0.5976890931884664
32,All,none,glm,2024-03-02T01:40:47Z,2024-03-02T01:41:03Z,1,0.02,0.0392156862745098,0.51
32,All,none,pda,2024-03-02T01:41:03Z,2024-03-02T01:42:39Z,0.1328125,0.34,0.19101123595505617,0.6584036773923945
32,All,none,multinom,2024-03-02T01:42:39Z,2024-03-02T01:43:13Z,1,0.02,0.0392156862745098,0.51
32,All,none,treebag,2024-03-02T01:43:13Z,2024-03-02T01:43:37Z,0.09090909090909091,0.02,0.032786885245901634,0.508955286251567
32,All,none,gbm,2024-03-02T01:43:38Z,2024-03-02T01:44:04Z,1,0.02,0.0392156862745098,0.51
32,All,none,ranger,2024-03-02T01:44:04Z,2024-03-02T01:46:20Z,NA,0,NA,0.5
32,All,none,nnet,2024-03-02T01:46:20Z,2024-03-02T01:47:18Z,NA,0,NA,0.5
32,All,weighted,glm,2024-03-02T01:47:18Z,2024-03-02T01:47:35Z,0.05799373040752351,0.74,0.10755813953488372,0.807212703719181
32,All,weighted,pda,2024-03-02T01:47:35Z,2024-03-02T01:49:11Z,NA,0,NA,0.5
32,All,weighted,multinom,2024-03-02T01:49:11Z,2024-03-02T01:49:44Z,0.0572289156626506,0.76,0.10644257703081232,0.8146009193480986
32,All,weighted,treebag,2024-03-02T01:49:44Z,2024-03-02T01:50:08Z,0.09090909090909091,0.02,0.032786885245901634,0.508955286251567
32,All,weighted,gbm,2024-03-02T01:50:08Z,2024-03-02T01:50:35Z,0.05303030303030303,0.7,0.09859154929577466,0.7847053907229419
32,All,weighted,ranger,2024-03-02T01:50:35Z,2024-03-02T01:53:23Z,0.07242339832869081,0.52,0.1271393643031785,0.7252110321771834
32,All,weighted,nnet,2024-03-02T01:53:24Z,2024-03-02T01:54:24Z,0.057488653555219364,0.76,0.10689170182841069,0.8149143334726285
32,All,up,glm,2024-03-02T01:54:25Z,2024-03-02T01:54:41Z,0.05763239875389408,0.74,0.10693641618497111,0.8067948182198077
32,All,up,pda,2024-03-02T01:54:42Z,2024-03-02T01:56:34Z,0.05417956656346749,0.7,0.10057471264367818,0.786167989970748
32,All,up,multinom,2024-03-02T01:56:34Z,2024-03-02T01:57:36Z,0.05873015873015873,0.74,0.1088235294117647,0.8080484747179273
32,All,up,treebag,2024-03-02T01:57:37Z,2024-03-02T01:58:14Z,0.07142857142857142,0.04,0.05128205128205128,0.5172837442540744
32,All,up,gbm,2024-03-02T01:58:15Z,2024-03-02T01:58:51Z,0.055639097744360905,0.74,0.1034965034965035,0.804391976598412
32,All,up,ranger,2024-03-02T01:58:52Z,2024-03-02T02:02:50Z,NA,0,NA,0.5
32,All,up,nnet,2024-03-02T02:02:50Z,2024-03-02T02:04:29Z,0.04403866809881848,0.82,0.08358817533129459,0.8170204763894693
32,All,smote,glm,2024-03-02T02:04:29Z,2024-03-02T02:04:46Z,0.061258278145695365,0.74,0.1131498470948012,0.8107647304638529
32,All,smote,pda,2024-03-02T02:04:47Z,2024-03-02T02:06:39Z,0.05384615384615385,0.7,0.1,0.7857501044713748
32,All,smote,multinom,2024-03-02T02:06:39Z,2024-03-02T02:07:27Z,0.061461794019933555,0.74,0.11349693251533742,0.8109736732135395
32,All,smote,treebag,2024-03-02T02:07:27Z,2024-03-02T02:08:04Z,0.06896551724137931,0.04,0.05063291139240506,0.517179272879231
32,All,smote,gbm,2024-03-02T02:08:05Z,2024-03-02T02:08:44Z,0.052795031055900624,0.68,0.09798270893371758,0.7762724613455914
32,All,smote,ranger,2024-03-02T02:08:44Z,2024-03-02T02:13:49Z,0.07692307692307693,0.02,0.03174603174603175,0.5087463435018804
32,All,smote,nnet,2024-03-02T02:13:49Z,2024-03-02T02:15:28Z,0.05,0.76,0.09382716049382717,0.8045716673631425
32,All,rose,glm,2024-03-02T02:15:28Z,2024-03-02T02:15:45Z,0.003110047846889952,0.26,0.006146572104018913,0.19466778102799834
32,All,rose,pda,2024-03-02T02:15:45Z,2024-03-02T02:17:23Z,0.055031446540880505,0.7,0.10204081632653061,0.787212703719181
32,All,rose,multinom,2024-03-02T02:17:23Z,2024-03-02T02:18:04Z,0.05555555555555555,0.74,0.10335195530726256,0.8042875052235687
32,All,rose,treebag,2024-03-02T02:18:05Z,2024-03-02T02:18:43Z,0.13333333333333333,0.28,0.1806451612903226,0.6304931048892604
32,All,rose,gbm,2024-03-02T02:18:44Z,2024-03-02T02:19:13Z,0.10891089108910891,0.44,0.1746031746031746,0.7011951525282073
32,All,rose,ranger,2024-03-02T02:19:13Z,2024-03-02T02:24:28Z,0.11842105263157894,0.36,0.1782178217821782,0.6660008357709988
32,All,rose,nnet,2024-03-02T02:24:29Z,2024-03-02T02:25:47Z,0.052781740370898715,0.74,0.09853528628495341,0.8006310071040534
84,Baseline,none,glm,2024-03-02T02:25:47Z,2024-03-02T02:26:03Z,NA,0,NA,0.5
84,Baseline,none,pda,2024-03-02T02:26:03Z,2024-03-02T02:26:52Z,0.2222222222222222,0.04,0.06779661016949154,0.519268700376097
84,Baseline,none,multinom,2024-03-02T02:26:53Z,2024-03-02T02:27:22Z,NA,0,NA,0.5
84,Baseline,none,treebag,2024-03-02T02:27:22Z,2024-03-02T02:27:43Z,0,0,NA,0.4988508148767238
84,Baseline,none,gbm,2024-03-02T02:27:44Z,2024-03-02T02:28:09Z,NA,0,NA,0.5
84,Baseline,none,ranger,2024-03-02T02:28:09Z,2024-03-02T02:30:24Z,NA,0,NA,0.5
84,Baseline,none,nnet,2024-03-02T02:30:25Z,2024-03-02T02:31:07Z,NA,0,NA,0.5
84,Baseline,weighted,glm,2024-03-02T02:31:07Z,2024-03-02T02:31:23Z,0.025506376594148537,0.68,0.049168474331164135,0.7042916840785625
84,Baseline,weighted,pda,2024-03-02T02:31:23Z,2024-03-02T02:32:13Z,NA,0,NA,0.5
84,Baseline,weighted,multinom,2024-03-02T02:32:13Z,2024-03-02T02:32:40Z,0.02643171806167401,0.72,0.0509915014164306,0.7214709569577935
84,Baseline,weighted,treebag,2024-03-02T02:32:40Z,2024-03-02T02:33:02Z,0,0,NA,0.4988508148767238
84,Baseline,weighted,gbm,2024-03-02T02:33:02Z,2024-03-02T02:33:26Z,0.02483564645726808,0.68,0.04792107117688513,0.7005307145842039
