CDD30YR,CDD65,HDD30YR,HDD65,DBT1,DBT99,HOUSEHOLDER_RACE,SDESCENT,NONWHITE,HHAGE,OVER65,NHSLDMEM,LIVESALONE,LARGEHOUSE,EDUCATION,HIGHSCHOOL,EMPLOYHH,MONEYPY,POVERTY,KOWNRENT,ELPAY,NGPAY,UATYP10,ECOREGION,TYPEHUQ,APARTMENT,YEARMADERANGE,TOTROOMS,SWIMPOOL,WALLTYPE,ROOFTYPE,THERMALMASS,ADQINSUL,DRAFTY,WINDOWS,WINFRAME,TYPEGLASS,AIRCOND,HEATHOME,COOLTYPE,EQUIPM,ACEQUIPAGE,EQUIPAGE,NOAC,NOHEAT,NUMCFAN,NUMFLOORFAN,BACKUP,SOLAR,YEAR,TEMPMA
1694,1813,3586,3187,92.4,19.3,White,0,0,55,0,2,0,0,4,0,0.5,40000,0,Own,1,0,1,Eastern.Temperate.Forests,SF.Detached,0,1979,8,0,Brick,Singles,1,2,0,16,Vinyl,2,1,1,Central.Air,Heat.Pump,0,0,0,0,6,2,0,0,2015,0
562,697,6405,6515,86,8.4,White,0,0,60,0,1,1,0,3,0,0.5,0,1,Rent,1,0,1,Eastern.Temperate.Forests,Apt.High,1,1979,3,0,Siding,No.Roof,0,3,0,3,Metal,2,1,1,Window.Wall,Steam.HW,5,5,0,0,2,0,0,0,2015,0
1037,929,5425,5413,88.3,9.2,Black,0,1,39,0,1,1,0,2,1,0,0,1,Rent,1,0,1,Eastern.Temperate.Forests,Apt.High,1,2009,4,0,Brick,No.Roof,1,2,0,6,Metal,1,1,1,Central.Air,Central.Furnace,10,0,0,0,0,2,0,0,2015,0
3720,4393,494,326,91.4,42.9,White,0,0,79,1,2,0,0,4,0,0,20000,1,Own,1,0,1,Eastern.Temperate.Forests,SF.Detached,0,1989,7,0,Concrete,Singles,1,2,0,6,Metal,1,1,1,Central.Air,Heat.Pump,10,10,0,0,4,0,0,0,2015,0
1818,2022,2888,2554,91.4,25.4,Asian,0,1,39,0,3,0,0,5,0,1,120000,0,Rent,1,1,1,Eastern.Temperate.Forests,SF.Attached,0,1979,7,0,Brick,Metal,1,2,1,16,Wood,1,1,1,Central.Air,Central.Furnace,2,15,0,0,2,0,0,0,2015,0
955,1183,4594,4079,90.6,19.1,White,0,0,72,1,2,0,0,4,0,0,120000,0,Own,1,0,0,Eastern.Temperate.Forests,SF.Detached,0,1999,6,0,Siding,Wood.Shingle,0,2,0,10,Vinyl,2,1,1,Central.Air,Heat.Pump,15,15,0,0,4,1,1,0,2015,0
1256,1746,2583,1967,99.2,34,White,0,0,55,0,3,0,0,4,0,1,80000,0,Own,1,1,1,Northwestern.Forested.Mountains,SF.Detached,0,2009,6,0,Stucco,Concrete.Tiles,0,3,0,16,Metal,2,1,1,Central.Air,Central.Furnace,0,0,1,0,2,0,0,0,2015,0
1059,1562,4790,4505,81.8,13,White,0,0,61,0,2,0,0,5,0,0.5,0,1,Rent,1,1,1,Eastern.Temperate.Forests,Apt.High,1,1950,4,0,Brick,No.Roof,1,0,0,6,Metal,2,1,1,Window.Wall,Steam.HW,0,5,0,0,0,2,0,0,2015,0
675,901,7389,6349,88.8,-4.5,White,0,0,64,0,2,0,0,4,0,0,60000,0,Own,1,0,0,Northern.Forests,SF.Detached,0,1969,7,0,Siding,Singles,0,3,0,16,Vinyl,2,1,1,Central.Air,Heat.Pump,5,5,0,0,1,0,0,0,2015,0
713,1027,5998,5561,86.1,7.9,White,0,0,85,1,2,0,0,1,1,0,40000,0,Neither,1,0,0,Eastern.Temperate.Forests,SF.Detached,0,1950,13,0,Wood,Wood.Shingle,0,2,1,10,Wood,1,1,1,Central.Air,Central.Furnace,20,20,0,0,0,2,1,0,2015,0
425,825,6152,5216,90.8,13.8,White,0,0,66,1,2,0,0,3,0,0,20000,1,Own,1,1,1,Northwestern.Forested.Mountains,SF.Detached,0,1959,5,0,Shingle,Singles,0,2,1,10,Wood,1,0,1,None,Central.Furnace,-2,0,0,0,1,1,0,0,2015,0
655,908,6490,5677,91.2,3,White,0,0,59,0,1,1,0,4,0,0,0,1,Rent,0,0,0.5,North.American.Deserts,Apt.High,1,1989,2,0,Brick,No.Roof,1,1,2,3,Wood,2,0,1,None,Heat.Pump,-2,20,0,0,2,1,0,0,2015,0
955,1297,5123,4956,89.9,15.8,White,0,0,49,0,4,0,0,4,0,0.5,20000,1,Own,1,1,1,Eastern.Temperate.Forests,SF.Detached,0,1959,8,0,Siding,Singles,0,3,1,20,Wood,1,1,1,Window.Wall,Steam.HW,0,20,0,0,1,7,0,0,2015,0
445,517,8611,7517,86,-12.7,White,0,0,56,0,2,0,0,3,0,0,40000,0,Own,1,0,0,Great.Plains,SF.Detached,0,2015,3,0,Wood,Metal,0,3,0,10,Wood,3,1,1,Central.Air,BuiltIn.Furnace,0,0,0,0,1,0,1,0,2015,0
812,759,1888,1922,88.2,37.7,White,1,1,45,0,5,0,0,1,1,0,20000,1,Own,1,1,1,Mediterranean.California,SF.Detached,0,1979,4,0,Shingle,Ceramic.Tiles,1,1,1,6,Metal,1,0,1,None,Central.Furnace,-2,20,0,0,1,4,0,0,2015,0
1265,1435,4465,4133,91.1,15.7,White,0,0,36,0,4,0,0,2,1,0,20000,1,Rent,1,0,0,Eastern.Temperate.Forests,Mobile,0,1989,5,0,Siding,Metal,0,1,1,10,Wood,1,1,1,Window.Wall,Portable.Electric,5,2,1,0,0,1,0,0,2015,0
1752,2071,2950,2506,91.4,25.4,Black,0,1,32,0,2,0,0,3,0,0.5,20000,1,Own,1,1,1,Eastern.Temperate.Forests,SF.Detached,0,1989,6,0,Siding,Singles,0,1,2,6,Wood,1,1,1,Central.Air,Central.Furnace,5,2,0,0,3,0,0,0,2015,0
685,642,5078,5223,90.3,15.7,American.Indian,0,1,23,0,8,0,1,3,0,0,60000,0,Own,1,1,0,North.American.Deserts,SF.Detached,0,1999,7,0,Siding,Wood.Shingle,0,1,2,10,Wood,1,1,1,Both,Central.Furnace,20,20,1,1,0,0,0,0,2015,0
2786,3076,1564,1348,93.1,31.8,Black,0,1,36,0,5,0,0,3,0,1,60000,0,Own,1,1,0.5,Great.Plains,SF.Detached,0,1979,6,0,Brick,Metal,1,2,3,10,Metal,1,1,1,Both,Central.Furnace,10,10,0,0,5,0,1,0,2015,0
2093,2322,1468,1058,98.4,30.3,White,1,1,45,0,6,0,0,3,0,1,40000,1,Own,1,1,1,Northwestern.Forested.Mountains,SF.Detached,0,2009,8,0,Stucco,Concrete.Tiles,0,2,0,10,Wood,2,1,1,Central.Air,Central.Furnace,5,5,0,0,1,0,0,0,2015,0
131,242,4908,4271,75.5,29.6,White,0,0,47,0,4,0,0,3,0,0,100000,0,Own,1,0,0,Marine.West.Coast.Forest,SF.Detached,0,1950,8,0,Wood,Singles,0,3,0,30,Metal,2,1,1,Central.Air,Wood.Stove,15,15,0,0,2,3,0,0,2015,0
712,890,5338,4996,87.6,12.2,White,0,0,52,0,3,0,0,3,0,1,20000,1,Own,1,1,0.5,Eastern.Temperate.Forests,SF.Detached,0,1959,7,0,Siding,Singles,0,2,1,10,Metal,2,1,1,Both,Central.Furnace,20,20,1,0,2,2,0,0,2015,0
2576,2633,2194,2189,99,28.1,White,1,1,41,0,4,0,0,1,1,0.5,0,1,Own,1,0,0,Great.Plains,Mobile,0,1950,5,0,Siding,Metal,0,3,1,10,Wood,1,1,0,Both,None,2,-2,0,0,0,0,0,0,2015,0
2785,4040,2220,1675,106.3,35.7,White,1,1,34,0,4,0,0,3,0,1,0,1,Rent,1,1,1,Temperate.Sierras,Apt.Low,1,1999,4,0,Stucco,Singles,0,3,0,3,Metal,1,1,1,Central.Air,Central.Furnace,10,10,0,0,2,0,0,0,2015,0
3449,4028,1992,1522,106.3,35.7,White,0,0,58,0,2,0,0,3,0,0.5,40000,0,Own,1,1,1,Temperate.Sierras,SF.Detached,0,1999,7,1,Stucco,Ceramic.Tiles,1,2,0,6,Metal,2,1,1,Central.Air,Central.Furnace,10,10,0,0,5,0,0,1,2015,0
588,1263,1281,654,80.2,46.4,White,1,1,70,1,1,1,0,3,0,0,0,1,Own,1,1,1,Northwestern.Forested.Mountains,SF.Detached,0,1959,7,0,Stucco,Other,0,0,0,6,Metal,1,0,1,None,Central.Furnace,-2,5,0,0,0,2,0,0,2015,0
419,388,7097,7683,85.5,0.6,White,0,0,85,1,2,0,0,2,1,0,20000,1,Own,1,1,0.5,Northern.Forests,SF.Detached,0,1959,6,1,Siding,Singles,0,2,0,10,Wood,1,1,1,Central.Air,Central.Furnace,5,5,0,0,2,0,0,0,2015,0
943,823,6895,6466,88.8,-4.5,White,0,0,57,0,4,0,0,3,0,1,20000,1,Own,1,0,1,Northern.Forests,SF.Detached,0,1950,7,0,Siding,Singles,0,2,1,30,Vinyl,2,1,1,Central.Air,Central.Furnace,5,10,0,0,6,0,0,0,2015,0
240,499,4808,3962,88,27.3,White,0,0,27,0,3,0,0,4,0,1,140000,0,Own,1,0,0,Marine.West.Coast.Forest,SF.Detached,0,1959,7,0,Wood,Singles,0,3,0,16,Vinyl,2,1,1,Window.Wall,Heat.Pump,0,0,0,0,1,0,0,0,2015,0
195,559,4995,3867,88,27.3,White,0,0,36,0,2,0,0,2,1,0.5,40000,0,Rent,1,0,1,Marine.West.Coast.Forest,Apt.High,1,2009,4,0,Stucco,No.Roof,0,2,1,1,Metal,1,1,1,Window.Wall,Portable.Electric,2,2,0,0,1,0,0,0,2015,0
985,1541,1214,686,88.3,43.9,White,0,0,43,0,2,0,0,3,0,1,60000,0,Rent,1,1,1,Northwestern.Forested.Mountains,SF.Attached,0,1969,4,0,Stucco,Singles,0,1,0,3,Vinyl,2,1,1,Window.Wall,Central.Furnace,0,0,0,0,1,1,0,0,2015,0
2402,2782,1909,1471,92.7,31.5,White,0,0,60,0,2,0,0,3,0,0.5,60000,0,Own,1,0,1,Eastern.Temperate.Forests,SF.Detached,0,2015,6,0,Stucco,Singles,0,3,0,20,Wood,2,1,1,Central.Air,Heat.Pump,5,5,0,0,2,0,0,0,2015,0
662,1011,6561,5697,87.8,6.3,White,0,0,78,1,1,1,0,3,0,0.5,20000,1,Own,1,1,1,Eastern.Temperate.Forests,SF.Attached,0,1999,9,0,Siding,Singles,0,2,1,10,Wood,2,1,1,Central.Air,Central.Furnace,2,2,0,0,0,2,0,0,2015,0
583,897,6359,6203,87.9,9.6,White,0,0,81,1,2,0,0,2,1,0,20000,1,Own,1,0,1,Eastern.Temperate.Forests,SF.Detached,0,1979,7,0,Siding,Metal,0,2,0,10,Wood,2,0,1,None,Central.Furnace,-2,10,0,0,0,3,1,0,2015,0
