bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
26,Baseline,none,glm,2024-03-02T01:05:12Z,2024-03-02T01:05:28Z,NA,0,NA,0.5
26,Baseline,none,pda,2024-03-02T01:05:28Z,2024-03-02T01:06:18Z,0.2,0.02,0.03636363636363636,0.5095821145006268
26,Baseline,none,multinom,2024-03-02T01:06:18Z,2024-03-02T01:06:46Z,NA,0,NA,0.5
26,Baseline,none,treebag,2024-03-02T01:06:46Z,2024-03-02T01:07:06Z,0,0,NA,0.4989552862515671
26,Baseline,none,gbm,2024-03-02T01:07:07Z,2024-03-02T01:07:30Z,NA,0,NA,0.5
26,Baseline,none,ranger,2024-03-02T01:07:30Z,2024-03-02T01:09:46Z,NA,0,NA,0.5
26,Baseline,none,nnet,2024-03-02T01:09:46Z,2024-03-02T01:10:28Z,NA,0,NA,0.5
26,Baseline,weighted,glm,2024-03-02T01:10:28Z,2024-03-02T01:10:43Z,0.029806259314456036,0.8,0.05747126436781609,0.7639782699540326
26,Baseline,weighted,pda,2024-03-02T01:10:44Z,2024-03-02T01:11:32Z,NA,0,NA,0.5
26,Baseline,weighted,multinom,2024-03-02T01:11:33Z,2024-03-02T01:12:00Z,0.02969561989606533,0.8,0.0572655690765927,0.7634559130798162
26,Baseline,weighted,treebag,2024-03-02T01:12:00Z,2024-03-02T01:12:21Z,0,0,NA,0.4989552862515671
26,Baseline,weighted,gbm,2024-03-02T01:12:22Z,2024-03-02T01:12:46Z,0.030597014925373135,0.82,0.058992805755395686,0.7742916840785625
26,Baseline,weighted,ranger,2024-03-02T01:12:46Z,2024-03-02T01:15:18Z,0.032667876588021776,0.72,0.0625,0.7486335144170497
26,Baseline,weighted,nnet,2024-03-02T01:15:19Z,2024-03-02T01:16:01Z,0.027913468248429867,0.8,0.05394470667565745,0.754471374843293
26,Baseline,up,glm,2024-03-02T01:16:01Z,2024-03-02T01:16:17Z,0.029895366218236172,0.8,0.05763688760806916,0.7643961554534058
26,Baseline,up,pda,2024-03-02T01:16:17Z,2024-03-02T01:17:49Z,0.030372057706909643,0.8,0.058522311631309436,0.766590054325115
26,Baseline,up,multinom,2024-03-02T01:17:49Z,2024-03-02T01:18:51Z,0.029367469879518073,0.78,0.056603773584905655,0.7553363978269954
26,Baseline,up,treebag,2024-03-02T01:18:51Z,2024-03-02T01:19:20Z,0,0,NA,0.49331383201002926
26,Baseline,up,gbm,2024-03-02T01:19:21Z,2024-03-02T01:19:49Z,0.030280649926144758,0.82,0.0584045584045584,0.7728290848307564
26,Baseline,up,ranger,2024-03-02T01:19:50Z,2024-03-02T01:23:01Z,0.03291814946619217,0.74,0.06303236797274275,0.7564396155453406
26,Baseline,up,nnet,2024-03-02T01:23:02Z,2024-03-02T01:24:17Z,0.025708635464733027,0.78,0.04977664326738992,0.735591307981613
26,Baseline,smote,glm,2024-03-02T01:24:17Z,2024-03-02T01:24:34Z,0.02663622526636225,0.7,0.051319648093841645,0.7163811115754284
26,Baseline,smote,pda,2024-03-02T01:24:34Z,2024-03-02T01:26:06Z,0.027149321266968326,0.72,0.05232558139534883,0.7252319264521521
