bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
93,Baseline,none,glm,2024-03-02T01:05:32Z,2024-03-02T01:05:47Z,NA,0,NA,0.5
93,Baseline,none,pda,2024-03-02T01:05:48Z,2024-03-02T01:06:36Z,0.09090909090909091,0.02,0.032786885245901634,0.508955286251567
93,Baseline,none,multinom,2024-03-02T01:06:36Z,2024-03-02T01:07:04Z,NA,0,NA,0.5
93,Baseline,none,treebag,2024-03-02T01:07:04Z,2024-03-02T01:07:25Z,0,0,NA,0.49874634350188046
93,Baseline,none,gbm,2024-03-02T01:07:25Z,2024-03-02T01:07:51Z,NA,0,NA,0.5
93,Baseline,none,ranger,2024-03-02T01:07:51Z,2024-03-02T01:10:07Z,NA,0,NA,0.5
93,Baseline,none,nnet,2024-03-02T01:10:07Z,2024-03-02T01:10:48Z,NA,0,NA,0.5
93,Baseline,weighted,glm,2024-03-02T01:10:48Z,2024-03-02T01:11:03Z,0.027552674230145867,0.68,0.052959501557632405,0.7146343501880486
93,Baseline,weighted,pda,2024-03-02T01:11:03Z,2024-03-02T01:11:52Z,NA,0,NA,0.5
93,Baseline,weighted,multinom,2024-03-02T01:11:52Z,2024-03-02T01:12:19Z,0.027243589743589744,0.68,0.05238828967642527,0.7131717509402424
93,Baseline,weighted,treebag,2024-03-02T01:12:19Z,2024-03-02T01:12:40Z,0,0,NA,0.49874634350188046
93,Baseline,weighted,gbm,2024-03-02T01:12:40Z,2024-03-02T01:13:06Z,0.027664768104149716,0.68,0.053166536356528536,0.715156707062265
93,Baseline,weighted,ranger,2024-03-02T01:13:06Z,2024-03-02T01:15:40Z,0.027645376549094377,0.58,0.05277525022747953,0.6834391976598412
93,Baseline,weighted,nnet,2024-03-02T01:15:40Z,2024-03-02T01:16:23Z,0.026336173508907823,0.68,0.05070842654735272,0.7086794818219808
93,Baseline,up,glm,2024-03-02T01:16:23Z,2024-03-02T01:16:40Z,0.0272654370489174,0.68,0.05242868157286045,0.7132762223150857
93,Baseline,up,pda,2024-03-02T01:16:40Z,2024-03-02T01:18:12Z,0.0273972602739726,0.68,0.05267234701781564,0.7139030505641455
93,Baseline,up,multinom,2024-03-02T01:18:12Z,2024-03-02T01:19:08Z,0.027375201288244767,0.68,0.05263157894736842,0.7137985791893022
93,Baseline,up,treebag,2024-03-02T01:19:09Z,2024-03-02T01:19:36Z,0.01694915254237288,0.02,0.01834862385321101,0.503940660259089
93,Baseline,up,gbm,2024-03-02T01:19:37Z,2024-03-02T01:20:09Z,0.025373134328358207,0.68,0.04892086330935252,0.7035603844546594
93,Baseline,up,ranger,2024-03-02T01:20:10Z,2024-03-02T01:23:21Z,0.02930056710775047,0.62,0.05595667870036101,0.7027078980359381
93,Baseline,up,nnet,2024-03-02T01:23:21Z,2024-03-02T01:24:39Z,0.024932614555256066,0.74,0.048239895697522815,0.7188299206017551
93,Baseline,smote,glm,2024-03-02T01:24:39Z,2024-03-02T01:24:55Z,0.02843601895734597,0.72,0.0547112462006079,0.7315002089427497
93,Baseline,smote,pda,2024-03-02T01:24:56Z,2024-03-02T01:26:27Z,0.0282574568288854,0.72,0.05438066465256798,0.7306644379440033
93,Baseline,smote,multinom,2024-03-02T01:26:27Z,2024-03-02T01:27:07Z,0.028481012658227847,0.72,0.0547945205479452,0.7317091516924363
93,Baseline,smote,treebag,2024-03-02T01:27:07Z,2024-03-02T01:27:37Z,0.0375,0.06,0.04615384615384615,0.5219557041370665
93,Baseline,smote,gbm,2024-03-02T01:27:38Z,2024-03-02T01:28:09Z,0.03133393017009848,0.7,0.059982862039417315,0.7369619724195571
93,Baseline,smote,ranger,2024-03-02T01:28:09Z,2024-03-02T01:32:00Z,0.036656891495601175,0.5,0.06830601092896176,0.6813623067279566
93,Baseline,smote,nnet,2024-03-02T01:32:01Z,2024-03-02T01:33:17Z,0.024606299212598427,0.5,0.04690431519699813,0.6464688675302968
93,Baseline,rose,glm,2024-03-02T01:33:17Z,2024-03-02T01:33:33Z,0.004484304932735426,0.32,0.008844665561083471,0.2889176765566235
93,Baseline,rose,pda,2024-03-02T01:33:33Z,2024-03-02T01:34:26Z,0.026604068857589983,0.68,0.051204819277108425,0.7100376096949437
93,Baseline,rose,multinom,2024-03-02T01:34:26Z,2024-03-02T01:34:58Z,0.026438569206842923,0.68,0.05089820359281437,0.7092018386961972
93,Baseline,rose,treebag,2024-03-02T01:34:58Z,2024-03-02T01:35:28Z,0.07692307692307693,0.08,0.0784313725490196,0.534985374007522
93,Baseline,rose,gbm,2024-03-02T01:35:29Z,2024-03-02T01:35:55Z,0.04950495049504951,0.1,0.06622516556291391,0.5399707480150439
93,Baseline,rose,ranger,2024-03-02T01:35:56Z,2024-03-02T01:39:39Z,0.07317073170731707,0.12,0.0909090909090909,0.5520601755119097
93,Baseline,rose,nnet,2024-03-02T01:39:40Z,2024-03-02T01:40:36Z,0.03571428571428571,0.3,0.06382978723404255,0.6076890931884663
93,All,none,glm,2024-03-02T01:40:36Z,2024-03-02T01:40:53Z,0.3333333333333333,0.02,0.03773584905660377,0.5097910572503134
93,All,none,pda,2024-03-02T01:40:53Z,2024-03-02T01:42:28Z,0.12195121951219512,0.3,0.17341040462427745,0.6387170915169244
93,All,none,multinom,2024-03-02T01:42:28Z,2024-03-02T01:43:01Z,0.3333333333333333,0.02,0.03773584905660377,0.5097910572503134
93,All,none,treebag,2024-03-02T01:43:01Z,2024-03-02T01:43:25Z,0.125,0.02,0.03448275862068966,0.509268700376097
93,All,none,gbm,2024-03-02T01:43:26Z,2024-03-02T01:43:51Z,1,0.02,0.0392156862745098,0.51
93,All,none,ranger,2024-03-02T01:43:51Z,2024-03-02T01:46:10Z,NA,0,NA,0.5
93,All,none,nnet,2024-03-02T01:46:11Z,2024-03-02T01:47:08Z,NA,0,NA,0.5
93,All,weighted,glm,2024-03-02T01:47:08Z,2024-03-02T01:47:24Z,0.057352941176470586,0.78,0.10684931506849316,0.8230338487254492
93,All,weighted,pda,2024-03-02T01:47:25Z,2024-03-02T01:49:01Z,NA,0,NA,0.5
93,All,weighted,multinom,2024-03-02T01:49:01Z,2024-03-02T01:49:34Z,0.05943536404160475,0.8,0.1106500691562932,0.8338696197241956
93,All,weighted,treebag,2024-03-02T01:49:34Z,2024-03-02T01:49:58Z,0.125,0.02,0.03448275862068966,0.509268700376097
93,All,weighted,gbm,2024-03-02T01:49:59Z,2024-03-02T01:50:25Z,0.061855670103092786,0.84,0.11522633744855967,0.8534517342248225
93,All,weighted,ranger,2024-03-02T01:50:25Z,2024-03-02T01:53:13Z,0,0,NA,0.4998955286251567
93,All,weighted,nnet,2024-03-02T01:53:13Z,2024-03-02T01:54:07Z,0.05785123966942149,0.84,0.10824742268041238,0.8485415796071876
93,All,up,glm,2024-03-02T01:54:07Z,2024-03-02T01:54:24Z,0.05726872246696035,0.78,0.10670314637482901,0.8229293773506059
93,All,up,pda,2024-03-02T01:54:24Z,2024-03-02T01:56:15Z,0.06212121212121212,0.82,0.11549295774647887,0.8453322189720016
93,All,up,multinom,2024-03-02T01:56:15Z,2024-03-02T01:57:19Z,0.05830903790087463,0.8,0.10869565217391304,0.8325114918512329
93,All,up,treebag,2024-03-02T01:57:19Z,2024-03-02T01:57:57Z,0.23076923076923078,0.06,0.09523809523809523,0.5289552862515671
93,All,up,gbm,2024-03-02T01:57:58Z,2024-03-02T01:58:31Z,0.06332842415316642,0.86,0.11796982167352538,0.8635562055996657
93,All,up,ranger,2024-03-02T01:58:31Z,2024-03-02T02:02:27Z,0,0,NA,0.4998955286251567
93,All,up,nnet,2024-03-02T02:02:28Z,2024-03-02T02:04:07Z,0.04365079365079365,0.88,0.0831758034026465,0.8392895946510657
93,All,smote,glm,2024-03-02T02:04:07Z,2024-03-02T02:04:24Z,0.06074766355140187,0.78,0.11271676300578035,0.8270037609694944
93,All,smote,pda,2024-03-02T02:04:24Z,2024-03-02T02:06:16Z,0.05970149253731343,0.8,0.11111111111111112,0.8341830338487255
93,All,smote,multinom,2024-03-02T02:06:16Z,2024-03-02T02:07:04Z,0.060653188180404355,0.78,0.11255411255411256,0.8268992895946511
93,All,smote,treebag,2024-03-02T02:07:05Z,2024-03-02T02:07:42Z,0.1891891891891892,0.14,0.16091954022988506,0.5668658587547013
93,All,smote,gbm,2024-03-02T02:07:42Z,2024-03-02T02:08:14Z,0.06427221172022685,0.68,0.11744386873920552,0.7882866694525701
93,All,smote,ranger,2024-03-02T02:08:14Z,2024-03-02T02:13:27Z,0.5,0.02,0.038461538461538464,0.5098955286251566
93,All,smote,nnet,2024-03-02T02:13:27Z,2024-03-02T02:15:06Z,0.05170239596469105,0.82,0.09727164887307237,0.8314375261178437
93,All,rose,glm,2024-03-02T02:15:06Z,2024-03-02T02:15:23Z,0.002167630057803468,0.18,0.004283674440742504,0.15717509402423735
93,All,rose,pda,2024-03-02T02:15:23Z,2024-03-02T02:17:02Z,0.05803571428571429,0.78,0.10803324099722991,0.8238696197241956
93,All,rose,multinom,2024-03-02T02:17:02Z,2024-03-02T02:17:43Z,0.05694444444444444,0.82,0.10649350649350649,0.8390639364814041
93,All,rose,treebag,2024-03-02T02:17:43Z,2024-03-02T02:18:22Z,0.09803921568627451,0.2,0.13157894736842105,0.5903886335144171
93,All,rose,gbm,2024-03-02T02:18:22Z,2024-03-02T02:18:54Z,0.09090909090909091,0.3,0.13953488372093023,0.6343292937735061
93,All,rose,ranger,2024-03-02T02:18:54Z,2024-03-02T02:23:47Z,0.1103448275862069,0.32,0.1641025641025641,0.6465231926452152
93,All,rose,nnet,2024-03-02T02:23:48Z,2024-03-02T02:25:06Z,0.07425742574257425,0.6,0.13215859030837004,0.7609277058086084
76,Baseline,none,glm,2024-03-02T02:25:06Z,2024-03-02T02:25:22Z,NA,0,NA,0.5
76,Baseline,none,pda,2024-03-02T02:25:22Z,2024-03-02T02:26:12Z,0.3333333333333333,0.04,0.07142857142857142,0.5195821145006269
76,Baseline,none,multinom,2024-03-02T02:26:12Z,2024-03-02T02:26:42Z,NA,0,NA,0.5
