bootstrap,input_features,imbalance,mLMethod,time.start,time.end,Precision,Recall,F1,BalancedAccuracy
41,Baseline,none,glm,2024-03-02T01:07:23Z,2024-03-02T01:07:41Z,NA,0,NA,0.5
41,Baseline,none,pda,2024-03-02T01:07:41Z,2024-03-02T01:08:27Z,0.3333333333333333,0.04,0.07142857142857142,0.5195821145006269
41,Baseline,none,multinom,2024-03-02T01:08:27Z,2024-03-02T01:08:54Z,NA,0,NA,0.5
41,Baseline,none,treebag,2024-03-02T01:08:54Z,2024-03-02T01:09:16Z,0.07142857142857142,0.02,0.03125,0.5086418721270372
41,Baseline,none,gbm,2024-03-02T01:09:16Z,2024-03-02T01:09:38Z,NA,0,NA,0.5
41,Baseline,none,ranger,2024-03-02T01:09:38Z,2024-03-02T01:11:29Z,NA,0,NA,0.5
41,Baseline,none,nnet,2024-03-02T01:11:29Z,2024-03-02T01:12:05Z,NA,0,NA,0.5
41,Baseline,weighted,glm,2024-03-02T01:12:06Z,2024-03-02T01:12:22Z,0.028749028749028748,0.74,0.055347793567688854,0.7394107814458839
41,Baseline,weighted,pda,2024-03-02T01:12:22Z,2024-03-02T01:13:08Z,NA,0,NA,0.5
41,Baseline,weighted,multinom,2024-03-02T01:13:08Z,2024-03-02T01:13:33Z,0.027945619335347432,0.74,0.053857350800582245,0.735545340576682
41,Baseline,weighted,treebag,2024-03-02T01:13:33Z,2024-03-02T01:13:54Z,0.07142857142857142,0.02,0.03125,0.5086418721270372
41,Baseline,weighted,gbm,2024-03-02T01:13:55Z,2024-03-02T01:14:16Z,0.027689873417721517,0.7,0.0532724505327245,0.721604680317593
41,Baseline,weighted,ranger,2024-03-02T01:14:17Z,2024-03-02T01:16:21Z,0.03274336283185841,0.74,0.06271186440677966,0.7558127872962808
41,Baseline,weighted,nnet,2024-03-02T01:16:22Z,2024-03-02T01:16:56Z,0.027797576621525304,0.78,0.053682037164487266,0.7475010447137485
41,Baseline,up,glm,2024-03-02T01:16:56Z,2024-03-02T01:17:13Z,0.028527370855821126,0.74,0.054936896807720854,0.7383660676974508
41,Baseline,up,pda,2024-03-02T01:17:13Z,2024-03-02T01:18:39Z,0.02865995352439969,0.74,0.05518269947800149,0.7389928959465106
41,Baseline,up,multinom,2024-03-02T01:18:39Z,2024-03-02T01:19:32Z,0.02843966179861645,0.74,0.05477424130273872,0.7379481821980778
41,Baseline,up,treebag,2024-03-02T01:19:32Z,2024-03-02T01:20:00Z,0.0392156862745098,0.04,0.0396039603960396,0.5148809026326786
41,Baseline,up,gbm,2024-03-02T01:20:01Z,2024-03-02T01:20:26Z,0.026850507982583455,0.74,0.05182072829131652,0.7299038863351441
41,Baseline,up,ranger,2024-03-02T01:20:27Z,2024-03-02T01:23:03Z,0.032714412024756855,0.74,0.06265876375952582,0.7557083159214375
41,Baseline,up,nnet,2024-03-02T01:23:03Z,2024-03-02T01:24:05Z,0.022860875244937948,0.7,0.044275774826059454,0.6937108232344338
41,Baseline,smote,glm,2024-03-02T01:24:05Z,2024-03-02T01:24:23Z,0.030604437643458302,0.8,0.058953574060427415,0.7676347680735478
41,Baseline,smote,pda,2024-03-02T01:24:23Z,2024-03-02T01:25:48Z,0.03089675960813866,0.82,0.05954974582425563,0.7756498119515253
41,Baseline,smote,multinom,2024-03-02T01:25:48Z,2024-03-02T01:26:25Z,0.03065134099616858,0.8,0.05904059040590406,0.7678437108232344
41,Baseline,smote,treebag,2024-03-02T01:26:25Z,2024-03-02T01:26:55Z,0.031578947368421054,0.06,0.041379310344827586,0.520388633514417
41,Baseline,smote,gbm,2024-03-02T01:26:56Z,2024-03-02T01:27:22Z,0.028363047001620744,0.7,0.05451713395638629,0.7247388215628918
41,Baseline,smote,ranger,2024-03-02T01:27:22Z,2024-03-02T01:30:30Z,0.04983388704318937,0.6,0.09202453987730061,0.7402423735896364
41,Baseline,smote,nnet,2024-03-02T01:30:30Z,2024-03-02T01:31:28Z,0.02805755395683453,0.78,0.05416666666666667,0.7488591725867113
